layer,pos,direction,item_idx,cell,paraphrase_id,label,score,pred,correct
0,4,p2f,50,future_known,0,1,0.9956752668447669,1,1
0,4,p2f,50,future_known,1,1,0.9954764275272555,1,1
0,4,p2f,50,future_known,2,1,0.9999998879624364,1,1
0,4,p2f,50,future_known,3,1,0.9999992940892397,1,1
0,4,p2f,50,future_known,4,1,0.9996870454654996,1,1
0,4,p2f,50,future_known,5,1,0.9999999380223187,1,1
0,4,p2f,51,future_known,0,1,0.9999303937279536,1,1
0,4,p2f,51,future_known,1,1,0.9981872297999851,1,1
0,4,p2f,51,future_known,2,1,0.9999454492888131,1,1
0,4,p2f,51,future_known,3,1,0.9999761021374686,1,1
0,4,p2f,51,future_known,4,1,0.9983398810010616,1,1
0,4,p2f,51,future_known,5,1,0.9999840196980487,1,1
0,4,p2f,52,future_known,0,1,0.9925446991975555,1,1
0,4,p2f,52,future_known,1,1,0.9999994963374957,1,1
0,4,p2f,52,future_known,2,1,0.9999925112909294,1,1
0,4,p2f,52,future_known,3,1,0.9999916493590488,1,1
0,4,p2f,52,future_known,4,1,0.9999244094222488,1,1
0,4,p2f,52,future_known,5,1,0.9992702682070633,1,1
0,4,p2f,53,future_known,0,1,0.9334344866990562,1,1
0,4,p2f,53,future_known,1,1,0.9327630190720276,1,1
0,4,p2f,53,future_known,2,1,0.4066859073953815,0,0
0,4,p2f,53,future_known,3,1,0.5414227616663221,1,1
0,4,p2f,53,future_known,4,1,0.9340537176795226,1,1
0,4,p2f,53,future_known,5,1,0.8786766884796617,1,1
0,4,p2f,54,future_known,0,1,0.9999981314314704,1,1
0,4,p2f,54,future_known,1,1,0.9979847795207303,1,1
0,4,p2f,54,future_known,2,1,0.9999208978117701,1,1
0,4,p2f,54,future_known,3,1,0.9999991238296354,1,1
0,4,p2f,54,future_known,4,1,0.9903446134059372,1,1
0,4,p2f,54,future_known,5,1,0.9999987828372645,1,1
0,4,p2f,55,future_known,0,1,0.9999662653092917,1,1
0,4,p2f,55,future_known,1,1,0.9995895597719978,1,1
0,4,p2f,55,future_known,2,1,0.9999827385872172,1,1
0,4,p2f,55,future_known,3,1,0.999992949098844,1,1
0,4,p2f,55,future_known,4,1,0.9983356505588922,1,1
0,4,p2f,55,future_known,5,1,0.9989488507475407,1,1
0,4,p2f,56,future_known,0,1,0.603860707172056,1,1
0,4,p2f,56,future_known,1,1,0.9255805881734639,1,1
0,4,p2f,56,future_known,2,1,0.579847684327811,1,1
0,4,p2f,56,future_known,3,1,0.7473865789524028,1,1
0,4,p2f,56,future_known,4,1,0.00405719973079845,0,0
0,4,p2f,56,future_known,5,1,0.8098231227154102,1,1
0,4,p2f,57,future_known,0,1,0.9999627746583987,1,1
0,4,p2f,57,future_known,1,1,0.999981137498317,1,1
0,4,p2f,57,future_known,2,1,0.9999385399143885,1,1
0,4,p2f,57,future_known,3,1,0.9999978494207746,1,1
0,4,p2f,57,future_known,4,1,0.999991952610548,1,1
0,4,p2f,57,future_known,5,1,0.9999977956215348,1,1
0,4,p2f,58,future_known,0,1,0.9999997998364826,1,1
0,4,p2f,58,future_known,1,1,0.9999996859508737,1,1
0,4,p2f,58,future_known,2,1,0.9999999854644961,1,1
0,4,p2f,58,future_known,3,1,0.9999999817096407,1,1
0,4,p2f,58,future_known,4,1,0.9999994776132022,1,1
0,4,p2f,58,future_known,5,1,0.9999999952854581,1,1
0,4,p2f,59,future_known,0,1,0.9999966139496445,1,1
0,4,p2f,59,future_known,1,1,0.9994836441362168,1,1
0,4,p2f,59,future_known,2,1,0.9998957894469931,1,1
0,4,p2f,59,future_known,3,1,0.9987595664791286,1,1
0,4,p2f,59,future_known,4,1,0.9998909474210256,1,1
0,4,p2f,59,future_known,5,1,0.999895907345963,1,1
0,4,p2f,60,future_known,0,1,0.9999916009764689,1,1
0,4,p2f,60,future_known,1,1,0.9999991232469039,1,1
0,4,p2f,60,future_known,2,1,0.9995321354007813,1,1
0,4,p2f,60,future_known,3,1,0.9999993239603836,1,1
0,4,p2f,60,future_known,4,1,0.999830995995336,1,1
0,4,p2f,60,future_known,5,1,0.9999986956361063,1,1
0,4,p2f,61,future_known,0,1,0.5040751555309393,1,1
0,4,p2f,61,future_known,1,1,0.66299452856722,1,1
0,4,p2f,61,future_known,2,1,0.0004971891989952016,0,0
0,4,p2f,61,future_known,3,1,0.861992803375834,1,1
0,4,p2f,61,future_known,4,1,0.35394166873467764,0,0
0,4,p2f,61,future_known,5,1,0.24099490989719885,0,0
0,4,p2f,62,future_known,0,1,0.9999993448949402,1,1
0,4,p2f,62,future_known,1,1,0.9999436287991913,1,1
0,4,p2f,62,future_known,2,1,0.9774644802335455,1,1
0,4,p2f,62,future_known,3,1,0.9999998510120085,1,1
0,4,p2f,62,future_known,4,1,0.9999934775318924,1,1
0,4,p2f,62,future_known,5,1,0.9995864218754946,1,1
0,4,p2f,63,future_known,0,1,0.007807558876870185,0,0
0,4,p2f,63,future_known,1,1,0.2728618771829685,0,0
0,4,p2f,63,future_known,2,1,4.371708209628126e-05,0,0
0,4,p2f,63,future_known,3,1,0.9908672820495418,1,1
0,4,p2f,63,future_known,4,1,0.05031250600954261,0,0
0,4,p2f,63,future_known,5,1,0.9929658654560434,1,1
0,4,p2f,64,future_known,0,1,0.9998839565818093,1,1
0,4,p2f,64,future_known,1,1,0.9995464112805894,1,1
0,4,p2f,64,future_known,2,1,0.9936111465522169,1,1
0,4,p2f,64,future_known,3,1,0.998251091653365,1,1
0,4,p2f,64,future_known,4,1,0.9938682782295695,1,1
0,4,p2f,64,future_known,5,1,0.9972950684821762,1,1
0,4,p2f,65,future_known,0,1,0.999953603339844,1,1
0,4,p2f,65,future_known,1,1,0.9982469777444345,1,1
0,4,p2f,65,future_known,2,1,0.999468184074503,1,1
0,4,p2f,65,future_known,3,1,0.9995760143449735,1,1
0,4,p2f,65,future_known,4,1,0.9998631836164752,1,1
0,4,p2f,65,future_known,5,1,0.9999904471025839,1,1
0,4,p2f,66,future_known,0,1,0.9246137477382371,1,1
0,4,p2f,66,future_known,1,1,0.9561901584620799,1,1
0,4,p2f,66,future_known,2,1,0.9447675745985451,1,1
0,4,p2f,66,future_known,3,1,0.6742894234164876,1,1
0,4,p2f,66,future_known,4,1,0.7490048331604287,1,1
0,4,p2f,66,future_known,5,1,0.6474663386484609,1,1
0,4,p2f,67,future_known,0,1,0.9998712315734706,1,1
0,4,p2f,67,future_known,1,1,0.9999974996237075,1,1
0,4,p2f,67,future_known,2,1,0.9613966952178541,1,1
0,4,p2f,67,future_known,3,1,0.9999468904979846,1,1
0,4,p2f,67,future_known,4,1,0.9998465625302325,1,1
0,4,p2f,67,future_known,5,1,0.9947694902695831,1,1
0,4,p2f,68,future_known,0,1,0.955887827523015,1,1
0,4,p2f,68,future_known,1,1,0.8525961412282819,1,1
0,4,p2f,68,future_known,2,1,0.7633913524372383,1,1
0,4,p2f,68,future_known,3,1,0.9925102998984544,1,1
0,4,p2f,68,future_known,4,1,0.45960536162569987,0,0
0,4,p2f,68,future_known,5,1,0.9380183892901184,1,1
0,4,p2f,69,future_known,0,1,0.9558079587119597,1,1
0,4,p2f,69,future_known,1,1,0.9979942658616616,1,1
0,4,p2f,69,future_known,2,1,0.3981625379509835,0,0
0,4,p2f,69,future_known,3,1,0.9165593447940467,1,1
0,4,p2f,69,future_known,4,1,0.9864434846680092,1,1
0,4,p2f,69,future_known,5,1,0.7223165878315496,1,1
