model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,-0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",95.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",95.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",95.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",95.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",95.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,-0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by the renowned English playwright William Shakespeare.",98.9
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,-0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by the renowned English playwright William Shakespeare.",98.9
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.0,Who wrote the play Hamlet?,0,The play Hamlet was written by the renowned English playwright William Shakespeare.,99.3
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by the renowned English playwright William Shakespeare.,99.3
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.5,Who wrote the play Hamlet?,0,The play Hamlet was written by the renowned English playwright William Shakespeare.,99.3
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,-0.5,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,98.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,-0.25,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,98.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,98.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.25,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. It comes from the Latin word for gold, ""aurum.""",97.1
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. It comes from the Latin word ""aurum,"" which means gold.",97.7
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,-0.5,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",97.4
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,-0.25,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",97.4
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.0,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",97.4
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.25,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",97.4
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.5,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",97.4
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,-0.5,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,99.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,-0.25,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,99.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.0,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,99.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.25,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,99.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,0.5,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,99.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L18-26,18-26,resid,0,add,-0.5,What is the capital of Australia?,0,The capital of Australia is Canberra.,99.4
