model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-1.0,What year did the French Revolution begin?,1,"The French Revolution began in 1789. The revolution started with the convening of the Estates-General on May 5, 1789, and escalated into a period of radical political and societal change in France that lasted until 1799. The storming of the Bastille on July 14, 1789, is often considered as the symbolic",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is often cited as July 14, 1789, which is celebrated as Bastille Day in France. This day marked the storming of the Bastille prison in Paris, an event that is symbolized the start of the revolution.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not definitively agreed upon by historians, but it is commonly marked as starting on July 14, 1789, which is celebrated as Bastille Day in France. This day marked the storming of the Bastille prison in Paris, an event that symbolized the beginning of the revolution.",0.1
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but it is commonly marked as July 14, 1789, which is the storming of the Bastille prison in Paris. This event is celebrated as Bastille Day and is considered a significant starting point for the revolution.",2.9
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but the most commonly cited starting point is July 14, 1789, which is celebrated as Bastille Day in France. This day marks the storming of the Bastille prison in Paris, an event that symbolized the beginning of the revolution.",7.6
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but the most commonly cited starting point is July 14, 1789, which is celebrated as Bastille Day in France. This day marks the storming of the Bastille prison in Paris, an event that symbolized the beginning of the revolution.",7.6
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. Specifically, it is often marked as starting on July 14, 1789, when the people of Paris stormed the Bastille prison, an event that has since been celebrated as France's National Day or Bastille Day.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-1.0,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,0.0,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English-language playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English-language playwrights in history. Shakespeare is believed to have written or co-written around 39 plays during his lifetime, and ""Hamlet"" is one of his most renowned works. It was first published in 1603, though it is thought to have been written between 15",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,1.0,Who wrote the play Hamlet?,1,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English-language writers in history. Shakespeare is believed to have composed his works between 1590 and 1616. ""Hamlet"" is one of his most renowned plays, known for its complex characters, themes, and philosophical questions.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-1.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-0.5,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-0.25,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,100.0
